OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
67187,Destroyed (>50%),0.0,Douglas,Street,Middletown,CA,0.0,LNU,Lake,Middletown,9/12/2015 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane, , , ,,,,116340.0,,21181 STEWART ST MIDDLETOWN CA 95461,38.7516202785257,-122.61842501641
24164,Destroyed (>50%),660.0,Swanton ,Road,,CA,,CZU,Santa Cruz,Davenport ,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,Unscreened,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,>30,,,,660 SWANTON RD DAVENPORT CA 95017,37.1231825670766,-122.259006347542
28049,No Damage,746655.0,Roop,Drive,Doyle ,CA,,LMU,Lassen,,11/17/2020 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Metal,No Eaves,No Vents,Vinyl,Multi Pane,Wood,Unknown,No Patio Cover/Carport,Non Combustible,,,95979.0,1978.0,746655 ROOP DR DOYLE CA 96109,40.038579486304,-120.112102670595
45623,Destroyed (>50%),1679.0,Middle Tree,Lane,Paradise Northeast A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,125320.0,1977.0,1679  MIDDLE TREE LN   PARADISE CA 95969,39.7919428928084,-121.581847645478
90826,No Damage,72.0,Vista Montemar ,Other,Laguna Niguel,CA,92677.0,ORC,Orange,,5/11/2022 12:00:00 AM,Fire,Engine Company Actions,Single Family Residence Multi Story,Single Residence,0.0,Concrete,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,,,691996.0,1996.0,"72 VISTA MONTEMAR, LAGUNA NIGUEL, CA 92677",33.5245244,-117.72711609
48154,Destroyed (>50%),7357.0,Skyway ,,Paradise Southwest B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,Unknown,Commercial Building Single Story,Nonresidential Commercial,3.0,Asphalt,Unenclosed,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,0-10,,153000.0,1958.0,7357  SKYWAY   C PARADISE CA 95969,39.767398582269,-121.61411764397
9979,Destroyed (>50%),2213.0,GEORGIA FLAT RD,,,CA,,SKU,Siskiyou,HAPPY CAMP,9/8/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1950.0,"2213 GEORGIA FLAT RD, HAPPY CAMP CA 96039",41.8210780260279,-123.382826991245
28887,Destroyed (>50%),1410.0,Nunneley,Road,Paradise Central Southeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,125000.0,1955.0,1410  NUNNELEY RD   PARADISE CA 95969,39.7555648129747,-121.593266327786
119196,No Damage,1750.0,Walworth,Avenue,Pasadena,CA,91104.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Tile,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,,30-50',218461.0,1927.0,"1750 WALWORTH AVE, PASADENA, CA 91104",34.1759989,-118.1352744
126377,No Damage,1730.0,Michael ,Lane,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Tile,No Eaves,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,,341639.0,1977.0,"1730 MICHAEL LN, PACIFIC PALISADES, CA 90272",34.0792535,-118.5620182
59307,Destroyed (>50%),2300.0,Old Soda Springs,Road,Unincorporated,CA,0.0,LNU,Napa,,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane, , , ,,,,2064726.0,1996.0,2300 OLD SODA SPRINGS RD,38.3732744477651,-122.275169205342
33691,Destroyed (>50%),5847.0,Almond ,Street,Paradise Central Southwest A,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,No Fence,,<30',21702.0,1949.0,5847  ALMOND ST   PARADISE CA 95969,39.757130246977,-121.624053692834
99051,No Damage,2045.0,Alborada,Drive,Camarillo,CA,93010.0,VNC,Ventura,,11/6/2024 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,,298032.0,1999.0,"2045 ALBORADA DR, CAMARILLO, CA 93010",34.2407763,-119.0565476
31004,Destroyed (>50%),1148.0,Bille,Road,Paradise Central Southwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,132424.0,1961.0,1148  BILLE RD   PARADISE CA 95969,39.7691514629383,-121.604730816088
45038,Destroyed (>50%),903.0,Central Park ,Drive,Paradise Central Southwest B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,187170.0,1956.0,903  CENTRAL PARK DR   PARADISE CA 95969,39.7661068716608,-121.608574443982
6987,No Damage,42070.0,Auberry ,Road,,CA,0.0,FKU,Fresno,Auberry ,9/4/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,0.0,   ,37.0796569108757,-119.41973765571
