,OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
0,67187,Destroyed (>50%),0.0,Douglas,Street,Middletown,0.0,LNU,Lake,Middletown,2015-09-12 00:00:00,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane, , , ,,,,116340.0,,21181 STEWART ST MIDDLETOWN CA 95461,38.7516202785257,-122.61842501641
1,24164,Destroyed (>50%),660.0,Swanton ,Road,,,CZU,Santa Cruz,Davenport ,2020-08-16 00:00:00,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,Unscreened,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,>30,,,,660 SWANTON RD DAVENPORT CA 95017,37.1231825670766,-122.259006347542
2,28049,No Damage,746655.0,Roop,Drive,Doyle ,,LMU,Lassen,,2020-11-17 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,,Metal,No Eaves,No Vents,Vinyl,Multi Pane,Wood,Unknown,No Patio Cover/Carport,Non Combustible,,,95979.0,1978.0,746655 ROOP DR DOYLE CA 96109,40.038579486304,-120.112102670595
3,45623,Destroyed (>50%),1679.0,Middle Tree,Lane,Paradise Northeast A,,BTU,Butte,Paradise,2018-11-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,125320.0,1977.0,1679  MIDDLE TREE LN   PARADISE CA 95969,39.7919428928084,-121.581847645478
4,90826,No Damage,72.0,Vista Montemar ,Other,Laguna Niguel,92677.0,ORC,Orange,,2022-05-11 00:00:00,Engine Company Actions,Single Family Residence Multi Story,Single Residence,0.0,Concrete,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,,,691996.0,1996.0,"72 VISTA MONTEMAR, LAGUNA NIGUEL, CA 92677",33.5245244,-117.72711609
5,48154,Destroyed (>50%),7357.0,Skyway ,,Paradise Southwest B,,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Commercial Building Single Story,Nonresidential Commercial,3.0,Asphalt,Unenclosed,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,0-10,,153000.0,1958.0,7357  SKYWAY   C PARADISE CA 95969,39.767398582269,-121.61411764397
6,9979,Destroyed (>50%),2213.0,GEORGIA FLAT RD,,,,SKU,Siskiyou,HAPPY CAMP,2020-09-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1950.0,"2213 GEORGIA FLAT RD, HAPPY CAMP CA 96039",41.8210780260279,-123.382826991245
7,28887,Destroyed (>50%),1410.0,Nunneley,Road,Paradise Central Southeast B,,BTU,Butte,Paradise,2018-11-08 00:00:00,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,125000.0,1955.0,1410  NUNNELEY RD   PARADISE CA 95969,39.7555648129747,-121.593266327786
8,119196,No Damage,1750.0,Walworth,Avenue,Pasadena,91104.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Single Story,Single Residence,,Tile,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,,30-50',218461.0,1927.0,"1750 WALWORTH AVE, PASADENA, CA 91104",34.1759989,-118.1352744
9,126377,No Damage,1730.0,Michael ,Lane,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Tile,No Eaves,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,,341639.0,1977.0,"1730 MICHAEL LN, PACIFIC PALISADES, CA 90272",34.0792535,-118.5620182
