OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,* CAL FIRE Unit,County,Incident Start Date,* Structure Type,Structure Category,* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude,Structure Age,Log Assessed Value,Fire Risk Score,Month,Fire Season Category,Month Name
67187,Destroyed (>50%),0.0,Douglas,Street,Middletown,LNU,Lake,2015-09-12 00:00:00,Single Family Residence Single Story,Single Residence,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane, , , ,No Fence,116340.0,1964.0,21181 STEWART ST MIDDLETOWN CA 95461,38.7516202785257,-122.61842501641,51.0,11.66428081292377,2.6,9,Moderate Season,September
24164,Destroyed (>50%),660.0,Swanton ,Road,Santa Cruz County,CZU,Santa Cruz,2020-08-16 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Unscreened,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,164837.0,1964.0,660 SWANTON RD DAVENPORT CA 95017,37.1231825670766,-122.259006347542,56.0,12.012718452401716,3.8,8,Peak Fire Season,August
28049,No Damage,746655.0,Roop,Drive,Doyle ,LMU,Lassen,2020-11-17 00:00:00,Single Family Residence Single Story,Single Residence,Metal,No Eaves,No Vents,Vinyl,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,95979.0,1978.0,746655 ROOP DR DOYLE CA 96109,40.038579486304,-120.112102670595,42.0,11.471895115412236,2.8,11,Peak Fire Season,November
45623,Destroyed (>50%),1679.0,Middle Tree,Lane,Paradise Northeast A,BTU,Butte,2018-11-08 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,125320.0,1977.0,1679  MIDDLE TREE LN   PARADISE CA 95969,39.7919428928084,-121.581847645478,41.0,11.738633724606586,6.3,11,Peak Fire Season,November
90826,No Damage,72.0,Vista Montemar ,Other,Laguna Niguel,ORC,Orange,2022-05-11 00:00:00,Single Family Residence Multi Story,Single Residence,Concrete,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,691996.0,1996.0,"72 VISTA MONTEMAR, LAGUNA NIGUEL, CA 92677",33.5245244,-117.72711609,26.0,13.447336899330294,2.7,5,Low Fire Season,May
48154,Destroyed (>50%),7357.0,Skyway ,Road,Paradise Southwest B,BTU,Butte,2018-11-08 00:00:00,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unenclosed,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,153000.0,1958.0,7357  SKYWAY   C PARADISE CA 95969,39.767398582269,-121.61411764397,60.0,11.938199736300925,6.3,11,Peak Fire Season,November
9979,Destroyed (>50%),2213.0,GEORGIA FLAT RD,Road,Siskiyou County,SKU,Siskiyou,2020-09-08 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,164837.0,1950.0,"2213 GEORGIA FLAT RD, HAPPY CAMP CA 96039",41.8210780260279,-123.382826991245,70.0,12.012718452401716,3.8,9,Moderate Season,September
28887,Destroyed (>50%),1410.0,Nunneley,Road,Paradise Central Southeast B,BTU,Butte,2018-11-08 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,125000.0,1955.0,1410  NUNNELEY RD   PARADISE CA 95969,39.7555648129747,-121.593266327786,63.0,11.736077016252437,4.3,11,Peak Fire Season,November
119196,No Damage,1750.0,Walworth,Avenue,Pasadena,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Single Story,Single Residence,Tile,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,218461.0,1927.0,"1750 WALWORTH AVE, PASADENA, CA 91104",34.1759989,-118.1352744,98.0,12.294367365349677,3.2,1,Peak Fire Season,January
126377,No Damage,1730.0,Michael ,Lane,Pacific Palisades,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Multi Story,Single Residence,Tile,No Eaves,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,341639.0,1977.0,"1730 MICHAEL LN, PACIFIC PALISADES, CA 90272",34.0792535,-118.5620182,48.0,12.741512830060083,2.3,1,Peak Fire Season,January
